"N Deadwood Categories","value"
0,0
1,7.45336516914666
2,15.9258072111612
3,25.9001349142556
4,37.1991299583755
5,49.1259967307534
6,60.8351659283803
7,71.5056461007164
8,80.5143438603147
9,87.5744114145387
10,92.8267190140075
11,96.756341065343
12,100
