"Native Canopy Percentage","value"
0,0
1,0.468915297568771
2,0.940149912832266
3,1.41601565116996
4,1.89882400989682
5,2.39088593398745
6,2.89451154973952
7,3.41200986772739
8,3.94568844580606
9,4.49785300218234
10,5.070806967688
11,5.66685096536221
12,6.28815326924061
13,6.93615675653811
14,7.61204931202051
15,8.31701383568324
16,9.05222779337723
17,9.81886243253744
18,10.6180819073863
19,11.4510423057357
20,12.3188905691411
21,13.2227632978018
22,14.1637854312775
23,15.1429683127791
24,16.1605113722813
25,17.2162202814358
26,18.3098846889596
27,19.4412796457323
28,20.6101646701409
29,21.8162828014241
30,23.0593596439382
31,24.3391024054659
32,25.6551989328944
33,27.0073167487977
34,28.3950541343818
35,29.8174309695891
36,31.2730903427387
37,32.7606538643553
38,34.2787282367619
39,35.8259059430278
40,37.4007660592889
41,39.0018751887705
42,40.6277885149325
43,42.2770509702577
44,43.9481985163215
45,45.6396266239561
46,47.3473491956231
47,49.0653648929077
48,50.7876764226339
49,52.508367512087
50,54.2216109409356
51,55.9216757344426
52,57.6029333512852
53,59.2598627112449
54,60.8870539224611
55,62.4792105843634
56,64.0312361646378
57,65.5407301343431
58,67.0083272620483
59,68.4348313197746
60,69.8210456026061
61,71.1677715611776
62,72.4758075641765
63,73.74594778341
64,74.9789811941506
65,76.1756906836691
66,77.3368522610759
67,78.4632313874022
68,79.5554076991567
69,80.613680951532
70,81.6383257960186
71,82.6296149040266
72,83.5878182293254
73,84.5132023079132
74,85.406029593998
75,86.2665578307467
76,87.0950394544451
77,87.8917210307028
78,88.656844872816
79,89.3909945088512
80,90.0954690921439
81,90.7716376849252
82,91.4208476023245
83,92.0444253331112
84,92.6436774589175
85,93.2198915650857
86,93.7743371369972
87,94.3082664363766
88,94.8229153526557
89,95.319504301225
90,95.7993146753462
91,96.2638304657016
92,96.71455837557
93,97.1529895444508
94,97.5806003174556
95,97.9988529261779
96,98.4091960782719
97,98.8130654532831
98,99.2118841025316
99,99.6070627510796
100,100
