"Anthropogenic Damage cover (%)","value"
0,100
1,98.1798333537013
2,96.3271779715923
3,94.4267621811834
4,92.4627582474798
5,90.4187732929401
6,88.2778337299655
7,86.022364902288
8,83.6341680682756
9,81.094397399762
10,78.3835403347917
11,75.4814054319189
12,72.372744824769
13,69.0737158649898
14,65.6127315499358
15,62.0198586552536
16,58.3268206358478
17,54.5669419642035
18,50.7750293818339
19,46.9871993174242
20,43.2406633393735
21,39.5734855521324
22,36.0243270795779
23,32.6297060209397
24,29.4063717893158
25,26.3611784054257
26,23.500378411404
27,20.8297207182237
28,18.3544944371537
29,16.0795751850853
30,14.0094726899933
31,12.1483785868553
32,10.5002133625128
33,9.06867147531744
34,7.8560559472031
35,6.85047937049237
36,6.03087105661197
37,5.37592267268855
38,4.86427100678361
39,4.47451904799237
40,4.1852495229949
41,3.97503333443945
42,3.82243467611372
43,3.70601404396388
44,3.60432992327103
45,3.49663295338353
46,3.37461985811947
47,3.24075343774559
48,3.09785162325917
49,2.94873250413624
50,2.79621432754869
51,2.64311548474686
52,2.49225448782154
53,2.34644994038603
54,2.20852050577688
55,2.08128487615564
56,1.96749927265292
57,1.86802520896811
58,1.78153368599864
59,1.70657362834691
60,1.64169391906994
61,1.58544341273365
62,1.536370944642
63,1.49302533724319
64,1.45395540449187
65,1.41770995476803
66,1.38283779280103
67,1.34789818811962
68,1.31207843942663
69,1.27553929265899
70,1.23852523152631
71,1.20128073999947
72,1.16405030217147
73,1.12707840211259
74,1.09060952372581
75,1.05488815060986
76,1.0201587659357
77,0.98666585234331
78,0.95465259354593
79,0.924151358396182
80,0.894752438661059
81,0.865990461213926
82,0.837400053549339
83,0.808515843929279
84,0.778872461556313
85,0.748004536791479
86,0.715446701438424
87,0.680733589113854
88,0.643399835731653
89,0.602980258532203
90,0.559187369614634
91,0.512244813744465
92,0.46246758002379
93,0.41017065815035
94,0.355669038048145
95,0.299277709435235
96,0.241311661338426
97,0.182085881562832
98,0.121915356130758
99,0.0611150687031634
100,0
