"domin","value"
"0",100
"1: <4% few",97.25
"2: <4% several",97.25
"3: <4% many",97.25
"4: 4-10%",87.15
"5: 10-25%",54.57
"6: 25-33%",17.22
"7: 33-50%",3.98
"8: 50-75%",1.54
"9: 75-90%",0.84
"10: 90-100%",0.3
